mesh 1_z,z mid [cm],"(n,p) [rxns]",flux*V [trks-cm],"(n,p) sd",flux*V sd,"(n,p) macro-xs [1/cm]","(n,p) micro-xs [b]","(n,p) mode [eV]",flux mode [eV]
82,0.815,0.0004116457020713071,8.41018208192337e-05,1.340012786350802e-07,2.7815108697195895e-08,4.894611056710507,2940.450635403769,0.0684465625,0.07429168750000001
83,0.825,0.00039092793252379674,8.008845586051487e-05,1.2994932749369537e-07,2.72294253301604e-08,4.88120201998465,2932.395120858514,0.0684465625,0.07429168750000001
84,0.835,0.00037131353203380906,7.627377983596374e-05,1.217077081215048e-07,2.6000282010437526e-08,4.868167446694854,2924.5645662203365,0.0684465625,0.0823549375
85,0.845,0.000352720368873057,7.265055787292748e-05,1.1937580426460158e-07,2.543044743463694e-08,4.8550262957374315,2916.6699847643263,0.0684465625,0.09174418749999999
86,0.855,0.00033508268407535734,6.920337784358362e-05,1.233150801375989e-07,2.5269273172241474e-08,4.84199896763313,2908.843782690642,0.0684465625,0.0803756875
87,0.865,0.0003184140266956275,6.593456013395789e-05,1.258114226727604e-07,2.5772340020327335e-08,4.829243207943032,2901.180726065461,0.0684465625,0.0747450625
88,0.875,0.00030260805070937843,6.282584489077195e-05,1.2927355106197429e-07,2.6300248288606856e-08,4.81661728919823,2893.5956717341655,0.0684465625,0.08193568749999999
89,0.885,0.0002876346935842587,5.98719070510584e-05,1.3065287812790476e-07,2.6226755352863393e-08,4.804167893616042,2886.1166641632067,0.0684465625,0.0814238125
90,0.895,0.00027344595412734775,5.706499293014912e-05,1.3042396912271657e-07,2.6842257625520255e-08,4.791833663452154,2878.706842524183,0.0684465625,0.0747450625
91,0.905,0.0002600196071016894,5.4400759854079486e-05,1.318651470727732e-07,2.704965624442566e-08,4.779705426893788,2871.4207720926042,0.0747450625,0.0777334375
92,0.915,0.00024726447482802767,5.186506798928547e-05,1.1630751452202911e-07,2.4386260078621205e-08,4.767456872496701,2864.062420398793,0.0747450625,0.0747450625
93,0.925,0.00023516812570444724,4.945124280439663e-05,1.0513844681691115e-07,2.2456489423446272e-08,4.755555419196438,2856.912590613849,0.0747450625,0.0747450625
94,0.935,0.00022370631931623597,4.7157790735892606e-05,1.0035251217446748e-07,2.153913252583557e-08,4.743782858045749,2849.8401931312305,0.0747450625,0.0747450625
95,0.945,0.0002128164511996485,4.497254052638631e-05,9.755307019328466e-08,2.0570117756814968e-08,4.732142074001462,2842.846961096442,0.0747450625,0.0747450625
96,0.955,0.0002024929568933451,4.289371736187709e-05,9.436639645649599e-08,1.9953762851973e-08,4.720806900110644,2836.037325175734,0.0747450625,0.0747450625
97,0.965,0.00019271154500245327,4.0919986599555456e-05,9.80032062659738e-08,2.0768749158439192e-08,4.709472338990132,2829.228057378421,0.0747450625,0.0747450625
